,Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
749,2003,economics,Robert F. Engle III,10-Nov-42,Syracuse NY,USA,," New York University, New York, NY, USA", Econometrics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2003 was divided equally between Robert F. Engle III for methods of analyzing economic time series with time-varying volatility (ARCH) and Clive W.J. Granger for methods of analyzing economic time series with common trends (cointegration).
750,2003,literature,John M. Coetzee,9-Feb-40,Cape Town,South Africa,South Africa,, English,The Nobel Prize in Literature,The Nobel Prize in Literature 2003 was awarded to J. M. Coetzee who in innumerable guises portrays the surprising involvement of the outsider.
751,2003,medicine,Paul C. Lauterbur,6-May-29,Sidney OH,USA,," University of Illinois, Urbana, IL, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2003 was awarded jointly to Paul C. Lauterbur and Sir Peter Mansfield for their discoveries concerning magnetic resonance imaging
752,2003,medicine,Sir Peter Mansfield,9-Oct-33,London,United Kingdom,," University of Nottingham, School of Physics and Astronomy, Nottingham, United Kingdom",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2003 was awarded jointly to Paul C. Lauterbur and Sir Peter Mansfield for their discoveries concerning magnetic resonance imaging
753,2003,peace,Shirin Ebadi,21-Jun-47,Hamadan,Iran,Iran,, Human rights,The Nobel Peace Prize,The Nobel Peace Prize 2003 was awarded to Shirin Ebadi for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children..
754,2003,physics,Alexei A. Abrikosov,25-Jun-28,Moscow,USSR (now Russia),," Argonne National Laboratory, Argonne, IL, USA"," Condensed matter physics, superfluidity, superconductivity",The Nobel Prize in Physics,"The Nobel Prize in Physics 2003 was awarded jointly to Alexei A. Abrikosov, Vitaly L. Ginzburg and Anthony J. Leggett for pioneering contributions to the theory of superconductors and superfluids."
755,2003,physics,Anthony J. Leggett,26-Mar-38,London,United Kingdom,," University of Illinois, Urbana, IL, USA"," Condensed matter physics, superfluidity, superconductivity",The Nobel Prize in Physics,"The Nobel Prize in Physics 2003 was awarded jointly to Alexei A. Abrikosov, Vitaly L. Ginzburg and Anthony J. Leggett for pioneering contributions to the theory of superconductors and superfluids."
756,2003,physics,Vitaly L. Ginzburg,4-Oct-16,Moscow,Russia,," P.N. Lebedev Physical Institute, Moscow, Russia"," Condensed matter physics, superfluidity, superconductivity",The Nobel Prize in Physics,"The Nobel Prize in Physics 2003 was awarded jointly to Alexei A. Abrikosov, Vitaly L. Ginzburg and Anthony J. Leggett for pioneering contributions to the theory of superconductors and superfluids."
757,2004,chemistry,Aaron Ciechanover,1-Oct-47,Haifa,British Protectorate of Palestine (now Israel),," Technion ? Israel Institute of Technology, Haifa, Israel", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2004 was awarded jointly to Aaron Ciechanover, Avram Hershko and Irwin Rose for the discovery of ubiquitin-mediated protein degradation."
758,2004,chemistry,Avram Hershko,31-Dec-37,Karcag,Hungary,," Technion ? Israel Institute of Technology, Haifa, Israel", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2004 was awarded jointly to Aaron Ciechanover, Avram Hershko and Irwin Rose for the discovery of ubiquitin-mediated protein degradation."
759,2004,chemistry,Irwin Rose,16-Jul-26,Brooklyn NY,USA,," University of California, Irvine, CA, USA", Biochemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2004 was awarded jointly to Aaron Ciechanover, Avram Hershko and Irwin Rose for the discovery of ubiquitin-mediated protein degradation."
760,2004,economics,Edward C. Prescott,26-Dec-40,Glens Falls NY,USA,," Arizona State University, Tempe, AZ, USA, Federal Reserve Bank of Minneapolis, Minneapolis, MN, USA", Macroeconomics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2004 was awarded jointly to Finn E. Kydland and Edward C. Prescott for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
761,2004,economics,Finn E. Kydland,1-Dec-43,Gjesdal,Norway,," Carnegie Mellon University, Pittsburgh, PA, USA, University of California, Santa Barbara, CA, USA", Macroeconomics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2004 was awarded jointly to Finn E. Kydland and Edward C. Prescott for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
762,2004,literature,Elfriede Jelinek,20-Oct-46,Mürzzuschlag,Austria,Austria,, German,The Nobel Prize in Literature,The Nobel Prize in Literature 2004 was awarded to Elfriede Jelinek for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power.
763,2004,medicine,Linda B. Buck,29-Jan-47,Seattle WA,USA,," Fred Hutchinson Cancer Research Center, Seattle, WA, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2004 was awarded jointly to Richard Axel and Linda B. Buck for their discoveries of odorant receptors and the organization of the olfactory system
764,2004,medicine,Richard Axel,2-Jul-46,New York NY,USA,," Columbia University, New York, NY, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2004 was awarded jointly to Richard Axel and Linda B. Buck for their discoveries of odorant receptors and the organization of the olfactory system
765,2004,peace,Wangari Muta Maathai,1-Apr-40,Nyeri,Kenya,Kenya,, Humanitarian work,The Nobel Peace Prize,"The Nobel Peace Prize 2004 was awarded to Wangari Maathai for her contribution to sustainable development, democracy and peace."
766,2004,physics,David J. Gross,19-Feb-41,Washington DC,USA,," University of California, Kavli Institute for Theoretical Physics, Santa Barbara, CA, USA",,The Nobel Prize in Physics,"The Nobel Prize in Physics 2004 was awarded jointly to David J. Gross, H. David Politzer and Frank Wilczek for the discovery of asymptotic freedom in the theory of the strong interaction."
767,2004,physics,Frank Wilczek,15-May-51,New York NY,USA,," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,The Nobel Prize in Physics,"The Nobel Prize in Physics 2004 was awarded jointly to David J. Gross, H. David Politzer and Frank Wilczek for the discovery of asymptotic freedom in the theory of the strong interaction."
768,2004,physics,H. David Politzer,31-Aug-49,New York NY,USA,," California Institute of Technology (Caltech), Pasadena, CA, USA",,The Nobel Prize in Physics,"The Nobel Prize in Physics 2004 was awarded jointly to David J. Gross, H. David Politzer and Frank Wilczek for the discovery of asymptotic freedom in the theory of the strong interaction."
769,2005,chemistry,Richard R. Schrock,4-Jan-45,Berne IN,USA,," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2005 was awarded jointly to Yves Chauvin, Robert H. Grubbs and Richard R. Schrock for the development of the metathesis method in organic synthesis."
770,2005,chemistry,Robert H. Grubbs,27-Feb-42,Possum Trot KY,USA,," California Institute of Technology (Caltech), Pasadena, CA, USA", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2005 was awarded jointly to Yves Chauvin, Robert H. Grubbs and Richard R. Schrock for the development of the metathesis method in organic synthesis."
771,2005,chemistry,Yves Chauvin,10-Oct-30,Menin,France,," Institut Français du Pétrole, Rueil-Malmaison, France", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 2005 was awarded jointly to Yves Chauvin, Robert H. Grubbs and Richard R. Schrock for the development of the metathesis method in organic synthesis."
772,2005,economics,Robert J. Aumann,8-Jun-30,Frankfurt-on-the-Main,Germany,," University of Jerusalem, Center for RationalityHebrew, Jerusalem, Israel", Game theory,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2005 was awarded jointly to Robert J. Aumann and Thomas C. Schelling for having enhanced our understanding of conflict and cooperation through game-theory analysis
773,2005,economics,Thomas C. Schelling,14-Apr-21,Oakland CA,USA,," University of Maryland, Department of Economics and School of Public Policy, College Park, MD, USA", Game theory,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2005 was awarded jointly to Robert J. Aumann and Thomas C. Schelling for having enhanced our understanding of conflict and cooperation through game-theory analysis
774,2005,literature,Harold Pinter,10-Oct-30,London,United Kingdom,United Kingdom,, English,The Nobel Prize in Literature,The Nobel Prize in Literature 2005 was awarded to Harold Pinter who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms.
775,2005,medicine,Barry J. Marshall,30-Sep-51,Kalgoorlie,Australia,," NHMRC <i>Helicobacter pylori</i> Research Laboratory, QEII Medical Centre, Nedlands, Australia, University of Western Australia, Australia",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2005 was awarded jointly to Barry J. Marshall and J. Robin Warren for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease
776,2005,medicine,J. Robin Warren,11-Jun-37,Adelaide,Australia,,,,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 2005 was awarded jointly to Barry J. Marshall and J. Robin Warren for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease
777,2005,peace,International Atomic Energy Agency (IAEA),1957 in Vienna,,Austria,,, Arms control and disarmament,The Nobel Peace Prize,The Nobel Peace Prize 2005 was awarded jointly to International Atomic Energy Agency (IAEA) and Mohamed ElBaradei for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
778,2005,peace,Mohamed ElBaradei,17-Jun-42,Cairo,Egypt,Egypt, Director General of IAEA, Arms control and disarmament,The Nobel Peace Prize,The Nobel Peace Prize 2005 was awarded jointly to International Atomic Energy Agency (IAEA) and Mohamed ElBaradei for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
779,2005,physics,John L. Hall,21-Aug-34,Denver CO,USA,," University of Colorado, JILA, Boulder, CO, USA, National Institute of Standards and Technology, Boulder, CO, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 2005 was divided, one half awarded to Roy J. Glauber for his contribution to the quantum theory of optical coherence,the other half jointly to John L. Hall and Theodor W. Hänsch for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique."
780,2005,physics,Roy J. Glauber,1-Sep-25,New York NY,USA,," Harvard University, Cambridge, MA, USA", Quantum optics,The Nobel Prize in Physics,"The Nobel Prize in Physics 2005 was divided, one half awarded to Roy J. Glauber for his contribution to the quantum theory of optical coherence,the other half jointly to John L. Hall and Theodor W. Hänsch for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique."
781,2005,physics,Theodor W. Hänsch,30-Oct-41,Heidelberg,Germany,," Max-Planck-Institut für Quantenoptik, Garching, Germany, Ludwig-Maximilians- Universität, Munich, Germany", Atomic Physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 2005 was divided, one half awarded to Roy J. Glauber for his contribution to the quantum theory of optical coherence,the other half jointly to John L. Hall and Theodor W. Hänsch for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique."
